YR   MTH   ANOM
1949  12  -1.58
1950   1  -1.58
1950   2  -1.26
1950   3  -0.96
1950   4  -1.10
1950   5  -1.20
1950   6  -0.68
1950   7  -0.26
1950   8  -0.29
1950   9  -0.16
1950  10  -0.21
1950  11  -0.49
1950  12  -0.52
1951   1  -0.66
1951   2  -0.32
1951   3   0.46
1951   4   0.61
1951   5   0.72
1951   6   0.60
1951   7   0.75
1951   8   0.70
1951   9   0.99
1951  10   0.92
1951  11   1.03
1951  12   0.77
1952   1   0.59
1952   2   0.39
1952   3   0.35
1952   4   0.53
1952   5   0.43
1952   6  -0.02
1952   7  -0.19
1952   8   0.08
1952   9   0.21
1952  10   0.09
1952  11  -0.26
1952  12   0.13
1953   1   0.73
1953   2   0.72
1953   3   0.84
1953   4   0.75
1953   5   0.89
1953   6   0.89
1953   7   0.58
1953   8   0.52
1953   9   0.87
1953  10   0.71
1953  11   0.73
1953  12   0.99
1954   1   1.08
1954   2   0.89
1954   3   0.21
1954   4  -0.68
1954   5  -0.11
1954   6  -0.22
1954   7  -0.44
1954   8  -0.81
1954   9  -0.96
1954  10  -0.78
1954  11  -0.38
1954  12  -0.54
1955   1  -0.32
1955   2  -0.28
1955   3  -0.36
1955   4  -0.40
1955   5  -0.41
1955   6  -0.29
1955   7  -0.40
1955   8  -0.64
1955   9  -0.79
1955  10  -1.64
1955  11  -1.86
1955  12  -1.40
1956   1  -0.55
1956   2  -0.29
1956   3  -0.10
1956   4  -0.19
1956   5   0.12
1956   6  -0.08
1956   7  -0.29
1956   8  -0.47
1956   9  -0.22
1956  10  -0.24
1956  11  -0.53
1956  12  -0.33
1957   1   0.11
1957   2   0.36
1957   3   0.76
1957   4   1.07
1957   5   1.09
1957   6   1.13
1957   7   1.32
1957   8   1.23
1957   9   1.22
1957  10   1.23
1957  11   1.46
1957  12   1.85
1958   1   2.31
1958   2   1.90
1958   3   1.43
1958   4   0.88
1958   5   0.90
1958   6   0.72
1958   7   0.41
1958   8   0.35
1958   9   0.03
1958  10   0.15
1958  11   0.56
1958  12   0.45
1959   1   1.01
1959   2   0.85
1959   3   0.65
1959   4   0.49
1959   5   0.17
1959   6   0.08
1959   7  -0.45
1959   8  -0.34
1959   9  -0.43
1959  10  -0.09
1959  11  -0.26
1959  12   0.03
1960   1   0.17
1960   2  -0.09
1960   3   0.03
1960   4   0.07
1960   5   0.13
1960   6  -0.01
1960   7   0.00
1960   8   0.33
1960   9   0.17
1960  10   0.01
1960  11   0.02
1960  12  -0.01
1961   1   0.04
1961   2   0.11
1961   3   0.04
1961   4  -0.06
1961   5   0.32
1961   6   0.50
1961   7   0.20
1961   8  -0.11
1961   9  -0.37
1961  10  -0.48
1961  11  -0.08
1961  12  -0.15
1962   1  -0.14
1962   2  -0.11
1962   3  -0.02
1962   4  -0.22
1962   5  -0.42
1962   6  -0.14
1962   7  -0.08
1962   8  -0.11
1962   9  -0.35
1962  10  -0.30
1962  11  -0.56
1962  12  -0.51
1963   1  -0.42
1963   2  -0.20
1963   3   0.32
1963   4   0.38
1963   5   0.00
1963   6   0.31
1963   7   0.92
1963   8   0.97
1963   9   1.09
1963  10   1.08
1963  11   1.13
1963  12   1.46
1964   1   1.17
1964   2   0.76
1964   3   0.12
1964   4  -0.57
1964   5  -0.65
1964   6  -0.68
1964   7  -0.45
1964   8  -0.64
1964   9  -0.78
1964  10  -0.74
1964  11  -0.76
1964  12  -0.62
1965   1  -0.17
1965   2   0.03
1965   3   0.34
1965   4   0.08
1965   5   0.70
1965   6   1.09
1965   7   1.31
1965   8   1.75
1965   9   1.95
1965  10   2.12
1965  11   2.02
1965  12   1.98
1966   1   1.70
1966   2   1.27
1966   3   1.59
1966   4   0.92
1966   5   0.10
1966   6   0.35
1966   7   0.41
1966   8   0.04
1966   9  -0.05
1966  10  -0.06
1966  11  -0.11
1966  12  -0.20
1967   1  -0.20
1967   2  -0.12
1967   3  -0.28
1967   4  -0.78
1967   5  -0.12
1967   6   0.34
1967   7   0.31
1967   8   0.26
1967   9  -0.26
1967  10  -0.07
1967  11   0.10
1967  12   0.02
1968   1  -0.16
1968   2  -0.50
1968   3  -0.34
1968   4  -0.10
1968   5  -0.13
1968   6   0.71
1968   7   0.77
1968   8   0.59
1968   9   0.39
1968  10   0.36
1968  11   0.91
1968  12   1.04
1969   1   1.25
1969   2   1.42
1969   3   0.72
1969   4   0.41
1969   5   0.48
1969   6   0.16
